position,tier,queue,killsPerMinMean,killsPerMinStd,deathsPerMinMean,deathsPerMinStd,assistsPerMinMean,assistsPerMinStd,totalDamageDealtToChampionsPerMinMean,totalDamageDealtToChampionsPerMinStd,totalHealPerMinMean,totalHealPerMinStd,totalUnitsHealedPerMinMean,totalUnitsHealedPerMinStd,damageSelfMitigatedPerMinMean,damageSelfMitigatedPerMinStd,damageDealtToObjectivesPerMinMean,damageDealtToObjectivesPerMinStd,damageDealtToTurretsPerMinMean,damageDealtToTurretsPerMinStd,timeCCingOthersPerMinMean,timeCCingOthersPerMinStd,totalDamageTakenPerMinMean,totalDamageTakenPerMinStd,goldEarnedPerMinMean,goldEarnedPerMinStd,totalMinionsKilledPerMinMean,totalMinionsKilledPerMinStd,totalTimeCrowdControlDealtPerMinMean,totalTimeCrowdControlDealtPerMinStd,killsRatioMean,killsRatioStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,visionScorePerMinMean,visionScorePerMinStd,neutralMinionsKilledPerMinMean,neutralMinionsKilledPerMinStd,neutralMinionsKilledEnemyJunglePerMinMean,neutralMinionsKilledEnemyJunglePerMinStd,visionWardsBoughtInGamePerMinMean,visionWardsBoughtInGamePerMinStd,wardsPlacedPerMinMean,wardsPlacedPerMinStd,wardsKilledPerMinMean,wardsKilledPerMinStd,xcor_0Mean,xcor_0Std,ycor_0Mean,ycor_0Std,xcor_1Mean,xcor_1Std,ycor_1Mean,ycor_1Std,xcor_2Mean,xcor_2Std,ycor_2Mean,ycor_2Std,xcor_3Mean,xcor_3Std,ycor_3Mean,ycor_3Std,xcor_4Mean,xcor_4Std,ycor_4Mean,ycor_4Std,xcor_5Mean,xcor_5Std,ycor_5Mean,ycor_5Std,xcor_6Mean,xcor_6Std,ycor_6Mean,ycor_6Std,xcor_7Mean,xcor_7Std,ycor_7Mean,ycor_7Std,xcor_8Mean,xcor_8Std,ycor_8Mean,ycor_8Std,xcor_9Mean,xcor_9Std,ycor_9Mean,ycor_9Std,xcor_10Mean,xcor_10Std,ycor_10Mean,ycor_10Std,xcor_11Mean,xcor_11Std,ycor_11Mean,ycor_11Std,xcor_12Mean,xcor_12Std,ycor_12Mean,ycor_12Std,xcor_13Mean,xcor_13Std,ycor_13Mean,ycor_13Std,xcor_14Mean,xcor_14Std,ycor_14Mean,ycor_14Std,xcor_15Mean,xcor_15Std,ycor_15Mean,ycor_15Std,spell_1,spell_11,spell_12,spell_13,spell_14,spell_21,spell_3,spell_30,spell_31,spell_32,spell_39,spell_4,spell_6,spell_7
TOP,DIAMOND,420,0.17602527991520933,0.11977411616477004,0.18259688162884105,0.09384536879313489,0.19750229008999134,0.14384134416757235,581.953111410374,216.99871894750086,14.695842537549192,72.95839016652185,0.0467160370039605,0.05791950413118274,730.7592818680794,409.6734093899236,267.299520529258,203.20400140546522,139.58020494444276,124.59468612757956,0.7041787012616724,0.5679190048848698,829.7033129477649,252.12298536281583,388.988100154131,77.9860375922111,6.203019829017614,1.310821556842049,7.066882728819028,6.502964879351112,0.408827752522199,0.16383862366911506,0.19576977132814408,0.0866771691347094,0.37352757000520076,0.1949087440584244,0.6756112689259864,0.2698122491808258,0.2777161014010709,0.29939657760910265,0.06597937779345237,0.13924132912279438,0.0714465414267887,0.06690801825207349,0.30458307975198673,0.09607143949318335,0.08102356303670145,0.06591180459621558,8085.63082437276,6959.793813868657,8103.602150537635,6965.882264468831,6039.537634408603,3182.080947423032,9349.358422939069,2943.8619902830833,2590.4265232974913,1096.9515545852214,12506.186379928315,1020.3586657956046,2907.9426523297493,1951.1473299508255,12260.84229390681,1440.8091639706383,3536.05376344086,3030.6459625526213,11760.297491039426,2469.452473544369,3344.179211469534,2621.6725996138957,11870.118279569893,2584.6275681064253,3234.15770609319,2462.4192562893018,11883.68817204301,2302.6124902187503,3293.6487455197134,2632.476408563637,11450.501792114695,2829.339716137552,3512.8387096774195,2873.0964807261375,11529.885304659498,2753.544665373658,3598.336917562724,2893.3535907638643,11481.763440860215,2675.930300403106,3970.2401433691757,3337.774184523561,11185.985663082438,3186.659623139966,3836.641577060932,3185.4631255609124,11063.516129032258,2993.8695177791433,4628.132616487455,3829.1004128330505,10420.430107526881,3780.830223806479,5037.641577060932,3850.31749422339,9866.304659498208,3934.3897706353864,4625.867383512545,3723.7549897055255,9897.68817204301,3590.5435581122424,4999.125448028673,3884.3864642476865,9786.035842293906,3935.9584444463526,0.0035842293906810036,0.0,0.8494623655913979,0.0,0.1111111111111111,0.0035842293906810036,0.010752688172043012,0.0,0.0,0.0,0.0,0.9605734767025089,0.06093189964157706,0.0
TOP,PLATINUM,420,0.17370027624297807,0.11811242373917467,0.195532916875108,0.0932283126665331,0.20088294000801693,0.1394065202033257,595.6444162767127,205.45712863218395,17.871228433860953,75.73759440399894,0.04655177311464865,0.04807266546293101,770.6415170551794,367.82125299180757,253.71128863537697,190.45971922182756,133.02608528627812,112.10299536776564,0.7120896969467276,0.6286023795436864,854.5768651944736,225.08897203968857,382.9776714211598,70.47463874502294,5.962312816398594,1.0821297625751454,6.554498139223251,5.355132747164376,0.38570323102080817,0.1451508760560237,0.20007106384121773,0.08256798725761508,0.37458321625099505,0.1950807267527402,0.6452802354189269,0.24824268550016362,0.28699087866884093,0.28510496714763717,0.07255862870463037,0.1377594680622785,0.06247525492401122,0.05704954560396686,0.283382231436032,0.09493067848230709,0.07260634426135675,0.06300712105787404,8067.756097560976,6950.669518218544,8094.024390243902,6953.9237680701035,5722.292682926829,3047.3835053570956,9170.132404181184,3382.3027467274014,2462.6341463414633,1066.2266755831313,12426.57142857143,926.837155538724,2858.045296167247,2000.5088150068482,12221.386759581881,1525.3677489295583,2902.240418118467,2084.058349527381,11826.146341463415,2320.0889389855297,3357.02787456446,2856.5113556739834,11738.672473867597,2683.0537210376406,2944.031358885017,2329.711723753907,11713.226480836236,2512.951556526739,3311.7700348432054,2814.7172949388046,11472.878048780487,2735.879316038821,3195.0383275261324,2531.126390802753,11680.853658536585,2329.6693062345553,3546.452961672474,2930.18106263804,11684.30662020906,2515.3367588755236,3423.8745644599303,3034.1598689068837,11278.783972125435,2904.235719429114,3541.020905923345,3096.9023537032294,11092.365853658537,3247.071585777809,3867.156794425087,3332.224206238865,10985.365853658537,3164.849861431562,4504.4390243902435,3601.037523706619,10580.926829268292,3538.8075919649827,4670.606271777004,3605.5713525046876,10353.303135888502,3543.4406941900243,4893.90243902439,3821.535996829542,10152.557491289199,3741.9061084533373,0.006968641114982578,0.0,0.8362369337979094,0.0,0.11846689895470383,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.9686411149825784,0.05574912891986063,0.010452961672473868
TOP,GOLD,420,0.17942388571220363,0.10886605857511046,0.19715499484821553,0.09209689172282842,0.19821676072242386,0.12408874522191939,605.1833329694512,233.93753849452008,12.391569395452011,66.24841118882156,0.039743305744617215,0.032758035261247535,815.0802500570788,430.30597143516974,253.87550825491343,206.67857661376453,124.36322054059625,93.35786051922891,0.7264512836780586,0.5303620321223724,883.2540107972903,238.01077265953614,381.23672076672653,65.72115473773574,5.798517737537364,1.082122123773936,6.529774276420051,5.936798455274899,0.3970354418817707,0.14924424678981638,0.19983024949301406,0.07988786303316639,0.37764064643462747,0.17714925672365245,0.6121083334080909,0.22923877567056752,0.3249676204226855,0.32273817743922173,0.07618156286226188,0.13944556091709753,0.054222220123116734,0.0518913234021113,0.278926527786807,0.08530936505371128,0.07253478574905511,0.06047643345861349,7924.421568627451,6962.123948726776,7947.575163398693,6964.48459128174,5192.964052287582,3117.7290382713786,9562.617647058823,3146.0144311283584,2408.676470588235,911.6789177577245,12558.735294117647,618.9285812736831,2647.9444444444443,1713.7713182713992,12219.238562091503,1431.0208571929356,2897.6797385620916,2298.6283483811753,11745.480392156862,2417.223914004233,3177.078431372549,2816.77942484934,11633.95751633987,2934.499641460228,2956.732026143791,2432.9397868922065,11905.114379084967,2422.3780112727004,3397.856209150327,2964.5822704510656,11772.954248366013,2786.9437796064008,3334.8071895424837,2545.6825266785854,11879.111111111111,2242.085687532213,3215.156862745098,2532.183008478684,11703.764705882353,2549.2389240705043,3666.516339869281,2829.436876383188,11484.058823529413,2805.574758882035,3590.9771241830067,3253.5352327814726,11157.76797385621,3241.050156933374,3700.777777777778,3077.0912946646995,11289.928104575163,2905.4397022940534,3853.5882352941176,3230.981282255805,10973.019607843138,3376.3142091574555,4117.150326797386,3399.592702260403,10615.6045751634,3513.7182356938997,4645.705882352941,3660.0762105876356,10202.650326797386,3751.456135905476,0.0,0.0032679738562091504,0.7908496732026143,0.0,0.16013071895424835,0.0032679738562091504,0.0,0.0,0.0,0.0,0.0,0.9771241830065359,0.06209150326797386,0.0032679738562091504
TOP,SILVER,420,0.180127731135796,0.13286083879576274,0.19092738772616064,0.10127351115394322,0.16816314418236333,0.124434232774599,583.9073947700143,240.9274359689756,22.239277353637632,96.24001329947681,0.04734845388119922,0.05494785920703706,707.0482886495705,364.69507840767056,240.41081943415273,208.243131336253,138.21469916941228,124.08048507606175,0.7653913972220371,0.5959789174334199,819.8636974817379,241.10446609934132,372.29855891247433,76.88243308380076,5.691110665304681,1.2232873765969745,7.951807043114421,8.34570349771116,0.3704741695945365,0.15667401257944286,0.19976124876806922,0.09300978753233126,0.34829087531815933,0.1953943943406506,0.5925320937997418,0.2696225524559738,0.2622070360090403,0.2919227923629949,0.07373260493102973,0.13533054124736774,0.048622110475995725,0.05028283443015964,0.2620326711931791,0.09160102944615375,0.05700667857425201,0.05517406534380283,7625.391585760518,6970.190598955895,7647.550161812298,6978.232810953768,4624.165048543689,3179.7632899027863,10081.336569579287,3141.126863208284,2358.7216828478963,770.2679919553486,12407.864077669903,1179.7366097897122,2542.5016181229776,1663.046991598135,12066.805825242718,1774.2862515483484,3114.135922330097,2460.900540143409,11716.84789644013,2531.116990637905,2891.663430420712,2132.9610424081943,11886.815533980582,2454.4003370605838,2877.4789644012944,2206.8031125681514,11902.132686084142,2448.139193664858,3233.673139158576,2772.8871575074345,11467.304207119741,2886.61693946556,3258.653721682848,2734.0048261556294,11846.268608414239,2342.9161404650467,3228.5760517799354,2778.1646524131947,11628.721682847896,2661.757170362537,3294.035598705502,2733.102060316307,11570.275080906149,2440.128768702801,3539.42071197411,2949.2794108402118,11285.26213592233,2744.1429195433384,3821.0388349514565,3018.514090851452,11480.88996763754,2956.158826472977,3935.0485436893205,3302.793515703959,10607.83495145631,3281.0942933161145,4271.05501618123,3411.5093120090455,10832.100323624596,3276.727932130038,4433.582524271845,3469.100594144109,10332.983818770226,3677.606176753536,0.003236245954692557,0.0,0.7443365695792881,0.0,0.18122977346278318,0.019417475728155338,0.003236245954692557,0.0,0.0,0.0,0.0,0.9870550161812298,0.05825242718446602,0.003236245954692557
TOP,BRONZE,420,0.18735550598578796,0.13399037276046527,0.18742841905633098,0.09578232724799611,0.19221391319803535,0.12788548629745916,609.7395512314837,275.37717222036275,14.886133462009827,76.73704835313175,0.03968099780890601,0.0336076016566593,781.6959633202181,425.51774124986554,254.52872273023146,200.86264382459063,143.19149960038393,119.26957881130812,0.7793940228673859,0.5946110502250725,845.2821245261248,258.75351096441887,368.0680855967033,77.04052519019284,5.218703504971098,1.2542554152978695,7.44373043578653,7.997593510193607,0.3966257821276104,0.1593593076779166,0.19554061297196584,0.08417011451041359,0.3795694191838233,0.19371811531746227,0.5480030724116973,0.24688512179350583,0.31191417076413663,0.34077378600876085,0.08173223084206147,0.1463004784466043,0.037063367027526245,0.04807976925440162,0.25673113155505195,0.08774361019171119,0.04558675212120043,0.04438005189160441,7920.267741935484,6963.831938747828,7942.935483870968,6964.847679112243,3944.1451612903224,2598.811843569573,10754.190322580645,3063.4625880504905,2458.122580645161,1011.3912993149033,12448.23870967742,1170.4538692256883,2621.5806451612902,1532.5379773602226,12267.04193548387,1431.04046884721,3048.858064516129,2243.6460500515896,11887.938709677419,2388.0612790727846,3013.2548387096776,2160.06722062769,12024.416129032257,2503.693850588294,2895.541935483871,2240.017763853251,12043.609677419356,2125.8551020980713,3085.2645161290325,2463.311907656083,11824.909677419355,2492.460602676219,2924.6548387096773,2217.3510786622114,11537.73870967742,2580.599081141928,3167.8967741935485,2282.9132403786957,12022.477419354838,2299.583455556191,3236.916129032258,2562.8104603591087,11733.922580645161,2277.4647533441016,3363.6193548387096,2821.4282911697715,11743.929032258064,2417.81792850503,3471.6709677419353,2751.374944561749,11412.741935483871,2783.426001996768,3662.748387096774,3031.7446675744845,11237.28064516129,2747.0139896794717,4165.193548387097,3229.3979332007816,10934.764516129033,3309.7865220268427,4354.493548387097,3516.0630176336695,10693.841935483872,3412.128077462209,0.0,0.0064516129032258064,0.6645161290322581,0.0,0.25483870967741934,0.00967741935483871,0.0032258064516129032,0.0,0.0,0.0,0.0,0.9838709677419355,0.06774193548387097,0.00967741935483871
TOP,IRON,420,0.17502159753485264,0.12735129505785842,0.18595165736812005,0.10193277371607733,0.1657983019048492,0.1218168122914744,570.9875124884946,279.04300408511494,17.113765378179142,95.52425672082418,0.04050664633993691,0.023083776322771282,722.6699919001795,434.83410724163144,236.15254767644225,197.10257058786772,139.26787410043192,124.97513768825942,0.7250948427126886,0.534778407145315,802.6866733595156,279.97179947545635,354.3554191765464,78.21826751955244,4.999804484921637,1.3881815347382291,6.253283133826627,5.927380643482804,0.3837913734249372,0.1607712041391338,0.19314817511164617,0.0885443494477022,0.34081989943970187,0.1899049803265218,0.48515512840446756,0.2014047279476032,0.2684776723372926,0.3231389944876809,0.06601294141863215,0.140601488801222,0.029789835339973165,0.041977661399083245,0.25100470293496274,0.08349839788825686,0.03581312192101965,0.04243511601296642,8097.040293040293,6951.28012823283,8121.476190476191,6951.383152171323,3762.355311355311,2766.839114547447,11013.369963369963,2754.5422911887604,2480.985347985348,950.0188851478008,12249.201465201466,1507.9765268683993,2563.978021978022,1402.6467626211745,12142.871794871795,1650.390206214192,2954.230769230769,2308.930673415295,11891.12087912088,2380.3024778523027,3073.8571428571427,2520.38004941465,12107.626373626374,1779.414617774321,2927.168498168498,2573.4189208312396,11982.57142857143,2016.9238214867394,3131.326007326007,2782.8985537098274,11732.003663003663,2424.912339983485,3066.168498168498,2567.419355690569,11685.28205128205,2385.106764229276,3264.098901098901,2828.747985059243,11677.593406593407,2459.711559390154,3635.3956043956046,3171.593775724739,11597.3663003663,2692.688910961142,3316.3443223443223,2945.9181640934394,11351.369963369963,2727.361487312754,3533.78021978022,3020.683690635617,11390.28205128205,2785.974954282593,4216.040293040293,3564.756606531739,11419.835164835165,2725.3698828718225,3932.3333333333335,3475.4444598680398,10864.992673992674,3257.8658421632967,4314.721611721612,3402.569182230113,10558.831501831502,3550.1778912808413,0.0,0.0,0.6776556776556777,0.0,0.2564102564102564,0.007326007326007326,0.0,0.0,0.0,0.0,0.0,0.9853479853479854,0.054945054945054944,0.018315018315018316
TOP,TOTAL,420,0.1787909939396726,0.12381138398527032,0.1900544675269272,0.09641193649988944,0.18720098217813785,0.13094776506422093,591.7387767679231,243.65825452371757,16.541779414536627,81.22326663360336,0.043393243076369735,0.04369563222222986,755.4212523606749,407.4775433732686,250.98531993152685,201.3144315135607,136.2212844053113,116.7286406930668,0.7365071850182916,0.5766594741538571,839.8726274826046,250.38842214820727,374.70583836146454,75.18317504713978,5.644824628567198,1.2901562292118594,6.985670795256785,6.824080435920926,0.39028241002367686,0.15613885558929125,0.19742714601131872,0.08581580422002538,0.3659919761178105,0.19140113021354951,0.5932068260230294,0.2528920608045674,0.289285168894532,0.31180241767315414,0.07295126449573021,0.1397550906612097,0.05051161198546909,0.05488565658660536,0.2725283034340769,0.09160300545324951,0.060750101162649846,0.058033223700322045,7946.842970521542,6952.0143747686325,7969.622448979592,6955.521324893622,4872.477891156463,3101.6306117236554,9989.819727891156,3153.7695246782478,2457.331065759637,972.1883900919648,12435.170634920634,1101.3040997645428,2687.151360544218,1724.9666818959179,12196.048752834467,1547.0382579033012,3072.625283446712,2424.125155106278,11803.507369614512,2417.2893993516623,3138.0243764172337,2530.134243662567,11874.563492063493,2525.074411093505,2969.3327664399094,2372.034521866117,11906.309523809523,2313.6050524295065,3242.425736961451,2740.7548872212756,11622.384353741496,2701.398862580685,3213.2312925170068,2584.923463094841,11695.878117913831,2442.979868521386,3331.282879818594,2710.528254408791,11704.30045351474,2530.7336340409365,3529.516439909297,2950.5248466001026,11480.065192743765,2726.6109528919637,3530.215419501134,3044.4162853516323,11287.525510204081,2912.586454460887,3829.4795918367345,3196.5265550542413,11173.418367346938,3090.8228620230516,4183.579931972789,3454.611885014048,10785.80612244898,3323.286859680719,4294.4569160997735,3476.887616104818,10591.988095238095,3430.2945752226647,4602.4268707483,3631.6774756759455,10292.881519274377,3685.334896150981,0.0022675736961451248,0.0017006802721088435,0.7596371882086168,0.0,0.18083900226757368,0.007936507936507936,0.002834467120181406,0.0,0.0,0.0,0.0,0.9773242630385488,0.060090702947845805,0.007369614512471655
MID,DIAMOND,420,0.22903338567325274,0.1578782224556206,0.19789772838814496,0.1007673419036262,0.22549934442593286,0.14334861976791263,630.9722011434025,239.01046553630422,16.683646406829073,56.98971498515843,0.04844243798689661,0.04044248567713599,498.2192484785321,264.2221780104408,205.19829073626423,169.30225311238917,88.4340570870452,93.1299040321656,0.7139699566409667,0.7584748037939838,724.4132543983949,196.22153194771317,402.24669201652017,78.76059039424304,6.212013012740139,1.1813897625770609,6.093212578218779,4.8399564729839035,0.49707363471319055,0.16283737767720946,0.20909523525762036,0.08421264891084243,0.4545327300991856,0.23528148415903638,0.7519319505733828,0.2658706140852665,0.33666971283196,0.33027753762626805,0.06635458247369325,0.12890000058128492,0.09986558916358505,0.06901160950473356,0.3091710139304558,0.10905222881305213,0.11679351845480382,0.0832848784653335,7851.756272401433,6949.335340979767,7803.8100358422935,6950.231857043441,7805.706093189964,2427.1326155469847,7273.573476702509,2377.0616165624047,7349.931899641577,955.1151192548007,7551.043010752688,906.4288602637056,7360.982078853047,1222.9629383585345,7730.555555555556,1192.345311278129,7346.4838709677415,2650.039679136505,7872.4982078853045,2657.667624165284,7372.204301075269,2299.436269165262,7535.860215053764,2228.203999440737,7596.8279569892475,2428.3489874454012,7308.802867383512,2488.8697748100385,7520.971326164875,2595.9493722065818,7483.709677419355,2680.0074811206864,7531.254480286739,2506.9213304986242,7337.8351254480285,2460.311405112912,7547.232974910395,2511.998135464636,7134.017921146953,2526.447048075229,7551.73835125448,2911.3743509122614,7281.598566308244,2911.519170714283,7378.286738351255,2699.441300482667,7327.928315412187,2803.59666390079,7258.430107526881,2928.6733746195364,6960.763440860215,2914.137998581009,7897.394265232975,3014.0772814220045,7126.4838709677415,3147.7267974913884,7643.448028673835,3105.570860645544,7098.8100358422935,3006.6142116574665,8051.046594982079,3402.8396924688122,6505.580645161291,3297.3534449274803,0.021505376344086023,0.0,0.2831541218637993,0.0,0.6272401433691757,0.010752688172043012,0.021505376344086023,0.0,0.0,0.0,0.0,0.989247311827957,0.02867383512544803,0.017921146953405017
MID,PLATINUM,420,0.23786661611779072,0.14615302705901242,0.20562726933216247,0.09774747569339477,0.2339843609716648,0.13262401131196236,656.7701031508336,224.36424390789358,14.865211537914792,54.44453680186619,0.041679070852807296,0.025833992330354234,515.8603998274714,243.80606983044711,181.16546653632184,169.98518058255834,82.63183350860798,93.6711162054513,0.7780380428692668,0.918828956371909,752.4128543514304,206.37433178022005,396.4666198478272,69.22209503132007,5.830383334645754,1.0180220167180984,5.879880574272465,4.99951920427072,0.4922519727909028,0.1448084421828603,0.20930065826872565,0.07988098017853035,0.47185097708945567,0.20770365434145246,0.724885273432806,0.25641197963349743,0.39062931752296176,0.32849587347559606,0.058723292691848124,0.1190391516386498,0.08995502352566878,0.06274864176380242,0.30682524498531644,0.10870935552452483,0.09818208939792744,0.07525671210870875,7882.79649122807,6952.816875751448,7836.768421052631,6959.40952770789,7790.859649122807,2222.4017226532173,7015.845614035088,2331.3156785348606,7492.39649122807,929.5075293781885,7455.480701754386,876.6782921752636,7289.0,1584.686666500957,7586.028070175438,1586.3942414639987,7470.252631578947,2024.5351281833398,7532.035087719299,2087.050607484432,7588.178947368421,2390.0788541662578,7480.926315789474,2412.7994110726745,7649.533333333334,2371.078276528894,7373.785964912281,2409.547679737648,7640.368421052632,2420.2435975608882,7271.252631578947,2335.656102449653,7819.0842105263155,2687.7970376162757,7238.849122807018,2542.3079057658024,7527.105263157895,2507.367523386102,7475.238596491228,2364.668080939079,7652.596491228071,2703.4362592327057,7373.491228070176,2668.852185910581,7644.161403508772,2645.2264863330747,7089.957894736842,2705.57056770147,8069.4315789473685,2829.4247884519395,7192.5368421052635,2787.20102600751,8285.322807017545,2728.6166710775324,6916.677192982456,2764.9822989919066,8045.182456140351,3208.983851775938,7166.831578947368,3246.674252820698,8215.659649122807,2993.7010797473013,6781.894736842105,2986.5753061497026,0.014035087719298246,0.0,0.2596491228070175,0.0,0.6807017543859649,0.017543859649122806,0.014035087719298246,0.0,0.0,0.0,0.0,0.9929824561403509,0.010526315789473684,0.010526315789473684
